epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1819,5.25136,6.23327,2.9712,0.00013,0.0016,6e-05,2e-05,4.46028,3.80561,1.99834,0.0673938,3.26389e-05,3.26389e-05
2,39.209,4.40784,3.36585,1.78395,0,0,0,0,4.34926,4.468,1.74532,0.0340931,6.53191e-05,6.53191e-05
3,52.8613,4.28655,3.13016,1.61038,0.00715,0.04791,0.0075,0.00159,4.1915,3.74472,1.6618,0.000791784,9.73393e-05,9.73393e-05
4,66.7968,4.19595,3.02838,1.54404,0.52025,0.02443,0.0073,0.00137,3.98596,2.8131,1.53046,9.703e-05,9.703e-05,9.703e-05
5,80.5135,4.0618,2.92597,1.5181,0.25947,0.02144,0.00414,0.00088,4.01146,3.21061,1.59033,9.604e-05,9.604e-05,9.604e-05
6,94.2306,3.99792,2.74775,1.47163,0.52286,0.03515,0.01364,0.00254,3.8592,2.99932,1.52555,9.505e-05,9.505e-05,9.505e-05
7,108.24,3.89084,2.68696,1.44919,0.5242,0.03642,0.01209,0.00257,3.80262,3.72188,1.5168,9.406e-05,9.406e-05,9.406e-05
8,122.14,3.78346,2.5955,1.41886,0.53375,0.04134,0.02018,0.00438,3.67394,3.04502,1.46396,9.307e-05,9.307e-05,9.307e-05
9,136.078,3.67221,2.51831,1.38934,0.27719,0.03791,0.01526,0.0033,3.75973,2.84807,1.44732,9.208e-05,9.208e-05,9.208e-05
10,149.687,3.59676,2.4398,1.36938,0.54851,0.06034,0.03563,0.00857,3.45973,2.48287,1.38478,9.109e-05,9.109e-05,9.109e-05
11,163.61,3.46752,2.34683,1.32752,0.30915,0.0762,0.03784,0.00868,3.38774,2.47052,1.35603,9.01e-05,9.01e-05,9.01e-05
12,177.736,3.36882,2.28556,1.32449,0.34255,0.08679,0.05416,0.01352,3.40805,2.51715,1.36361,8.911e-05,8.911e-05,8.911e-05
13,191.591,3.31876,2.21516,1.30486,0.62424,0.10008,0.06983,0.0183,3.19269,2.13723,1.30535,8.812e-05,8.812e-05,8.812e-05
14,205.427,3.28054,2.20779,1.28838,0.10971,0.11402,0.06723,0.01761,3.13741,2.08019,1.30828,8.713e-05,8.713e-05,8.713e-05
15,219.059,3.21526,2.132,1.2516,0.38212,0.11339,0.08748,0.02288,3.10304,2.10445,1.27937,8.614e-05,8.614e-05,8.614e-05
16,232.993,3.20782,2.10473,1.25703,0.38772,0.08588,0.07162,0.01753,3.32166,2.34984,1.35149,8.515e-05,8.515e-05,8.515e-05
17,246.627,3.14548,2.05283,1.23502,0.38033,0.1233,0.08316,0.0227,3.00303,2.02963,1.25791,8.416e-05,8.416e-05,8.416e-05
18,260.249,3.06991,2.02227,1.22597,0.38704,0.10802,0.09422,0.02552,3.11431,2.06115,1.2526,8.317e-05,8.317e-05,8.317e-05
19,274.123,3.08495,2.00058,1.21563,0.43749,0.12651,0.10542,0.02959,2.95156,1.97787,1.25047,8.218e-05,8.218e-05,8.218e-05
20,287.949,3.01752,1.97925,1.21635,0.15398,0.15271,0.11455,0.03366,2.84883,1.85972,1.1925,8.119e-05,8.119e-05,8.119e-05
21,301.859,3.02314,1.95869,1.21684,0.44309,0.15209,0.13327,0.03977,2.8408,1.82496,1.20347,8.02e-05,8.02e-05,8.02e-05
22,315.96,2.97089,1.93116,1.19114,0.14921,0.13134,0.09348,0.02553,3.00233,1.99143,1.22797,7.921e-05,7.921e-05,7.921e-05
23,329.569,2.92625,1.88479,1.18991,0.13358,0.14642,0.10839,0.03129,2.85889,1.88845,1.21458,7.822e-05,7.822e-05,7.822e-05
24,343.203,2.93421,1.8848,1.17449,0.37922,0.16655,0.13828,0.04183,2.77387,1.86722,1.18912,7.723e-05,7.723e-05,7.723e-05
25,357.024,2.86957,1.88191,1.18909,0.2536,0.15388,0.11949,0.03373,2.88123,1.86995,1.17906,7.624e-05,7.624e-05,7.624e-05
26,370.683,2.88274,1.83465,1.17526,0.21395,0.17426,0.1114,0.03224,2.76833,1.8535,1.18359,7.525e-05,7.525e-05,7.525e-05
27,384.306,2.82773,1.8328,1.17949,0.21395,0.17318,0.12545,0.03685,2.76675,1.76127,1.18288,7.426e-05,7.426e-05,7.426e-05
28,397.805,2.83913,1.83679,1.17329,0.27999,0.17257,0.14209,0.04156,2.72289,1.76194,1.16335,7.327e-05,7.327e-05,7.327e-05
29,411.338,2.81296,1.80046,1.15651,0.23622,0.16655,0.12072,0.03522,2.77108,1.82134,1.18919,7.228e-05,7.228e-05,7.228e-05
30,424.906,2.78823,1.78616,1.15687,0.26281,0.18073,0.13825,0.04204,2.67295,1.71849,1.15302,7.129e-05,7.129e-05,7.129e-05
31,438.772,2.78806,1.78847,1.15606,0.30616,0.17127,0.15533,0.04751,2.64301,1.69541,1.15372,7.03e-05,7.03e-05,7.03e-05
32,452.902,2.77961,1.76785,1.14296,0.25387,0.17209,0.1462,0.04318,2.7531,1.72946,1.16895,6.931e-05,6.931e-05,6.931e-05
33,466.478,2.75776,1.73876,1.13875,0.25264,0.17855,0.13321,0.04005,2.69518,1.77719,1.17326,6.832e-05,6.832e-05,6.832e-05
34,480.098,2.78547,1.75306,1.13617,0.25457,0.19089,0.13961,0.04413,2.65182,1.71239,1.13904,6.733e-05,6.733e-05,6.733e-05
35,493.662,2.72672,1.74704,1.15207,0.33456,0.1728,0.15315,0.04632,2.70467,1.77031,1.17635,6.634e-05,6.634e-05,6.634e-05
36,507.188,2.7092,1.71592,1.13252,0.2847,0.19643,0.14348,0.04452,2.65266,1.72359,1.14703,6.535e-05,6.535e-05,6.535e-05
37,520.817,2.70149,1.70246,1.12896,0.28209,0.19926,0.14704,0.04547,2.58276,1.69311,1.13369,6.436e-05,6.436e-05,6.436e-05
38,534.395,2.68052,1.6801,1.13679,0.27824,0.19021,0.14322,0.0432,2.64718,1.70399,1.14907,6.337e-05,6.337e-05,6.337e-05
39,548.042,2.70636,1.70916,1.12673,0.26662,0.2033,0.16248,0.05062,2.60422,1.64719,1.13927,6.238e-05,6.238e-05,6.238e-05
40,561.842,2.67798,1.69726,1.13119,0.26887,0.21333,0.16592,0.05208,2.57426,1.63185,1.13624,6.139e-05,6.139e-05,6.139e-05
41,575.633,2.65129,1.68232,1.1223,0.24041,0.2163,0.16099,0.04973,2.58288,1.65333,1.11937,6.04e-05,6.04e-05,6.04e-05
42,589.513,2.63705,1.6547,1.11387,0.30346,0.21052,0.17162,0.05393,2.55052,1.63695,1.12731,5.941e-05,5.941e-05,5.941e-05
43,603.356,2.64572,1.68707,1.12566,0.31424,0.19854,0.15703,0.04861,2.6158,1.64586,1.13518,5.842e-05,5.842e-05,5.842e-05
44,616.947,2.64016,1.67672,1.11918,0.26538,0.237,0.1688,0.0526,2.5364,1.63589,1.11946,5.743e-05,5.743e-05,5.743e-05
45,630.6,2.65689,1.6854,1.12085,0.31125,0.23846,0.18741,0.05965,2.51655,1.57437,1.11853,5.644e-05,5.644e-05,5.644e-05
46,644.397,2.64698,1.64384,1.10097,0.26378,0.22998,0.17415,0.05583,2.51978,1.59981,1.10831,5.545e-05,5.545e-05,5.545e-05
47,658.057,2.65256,1.66214,1.10525,0.31532,0.24728,0.19408,0.06154,2.49853,1.58718,1.1078,5.446e-05,5.446e-05,5.446e-05
48,671.924,2.62061,1.6579,1.10617,0.27197,0.22864,0.17787,0.05599,2.56271,1.61782,1.11906,5.347e-05,5.347e-05,5.347e-05
49,685.547,2.59886,1.63804,1.10652,0.2671,0.25435,0.17606,0.05578,2.49506,1.61259,1.11346,5.248e-05,5.248e-05,5.248e-05
50,699.168,2.61597,1.63615,1.10427,0.29217,0.22239,0.18676,0.05868,2.50417,1.58256,1.1069,5.149e-05,5.149e-05,5.149e-05
51,712.721,2.57455,1.6032,1.10978,0.35602,0.22147,0.20424,0.06562,2.49076,1.5299,1.1165,5.05e-05,5.05e-05,5.05e-05
52,726.852,2.56399,1.61702,1.10165,0.25743,0.23152,0.1704,0.05054,2.63206,1.63087,1.1283,4.951e-05,4.951e-05,4.951e-05
53,740.483,2.57056,1.59007,1.09915,0.30997,0.23799,0.19112,0.06184,2.46891,1.59836,1.11051,4.852e-05,4.852e-05,4.852e-05
