epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,754.122,2.5326,1.5886,1.10308,0.25926,0.25461,0.17725,0.05681,2.50022,1.59122,1.11074,4.753e-05,4.753e-05,4.753e-05
55,767.688,2.56265,1.5955,1.10363,0.29433,0.24726,0.17876,0.057,2.49474,1.57566,1.10382,4.654e-05,4.654e-05,4.654e-05
56,781.291,2.55859,1.59724,1.10468,0.30949,0.24927,0.19724,0.0629,2.46187,1.55045,1.10271,4.555e-05,4.555e-05,4.555e-05
57,794.876,2.57229,1.59994,1.09757,0.28941,0.27305,0.20208,0.06439,2.45515,1.54272,1.0971,4.456e-05,4.456e-05,4.456e-05
58,808.499,2.56253,1.59316,1.09472,0.29993,0.26083,0.20058,0.06396,2.44398,1.54885,1.0958,4.357e-05,4.357e-05,4.357e-05
59,822.14,2.56966,1.5895,1.10346,0.29434,0.25871,0.19337,0.06174,2.47364,1.53884,1.10655,4.258e-05,4.258e-05,4.258e-05
60,835.672,2.53422,1.57476,1.09613,0.31289,0.25538,0.19443,0.06092,2.4941,1.54455,1.10558,4.159e-05,4.159e-05,4.159e-05
61,849.351,2.51929,1.55272,1.08895,0.34039,0.24742,0.20566,0.06532,2.46011,1.54812,1.10574,4.06e-05,4.06e-05,4.06e-05
62,863.222,2.49596,1.54579,1.07865,0.30094,0.2619,0.19964,0.06262,2.49866,1.54702,1.10462,3.961e-05,3.961e-05,3.961e-05
63,876.799,2.50098,1.55184,1.09354,0.28886,0.25611,0.1938,0.06126,2.46935,1.54848,1.10074,3.862e-05,3.862e-05,3.862e-05
64,890.472,2.54523,1.58607,1.09739,0.30186,0.24826,0.19215,0.06106,2.47694,1.58586,1.11546,3.763e-05,3.763e-05,3.763e-05
65,904.056,2.52868,1.55817,1.09386,0.31339,0.26754,0.19803,0.06391,2.4375,1.5422,1.08821,3.664e-05,3.664e-05,3.664e-05
66,917.657,2.49279,1.55094,1.09182,0.32792,0.28326,0.21799,0.07091,2.41333,1.5012,1.08712,3.565e-05,3.565e-05,3.565e-05
67,931.485,2.48613,1.55593,1.08742,0.33417,0.2654,0.21745,0.07082,2.40624,1.52008,1.08876,3.466e-05,3.466e-05,3.466e-05
68,945.162,2.50797,1.55258,1.07903,0.32557,0.26933,0.21321,0.06875,2.42488,1.49808,1.09042,3.367e-05,3.367e-05,3.367e-05
69,958.795,2.46956,1.53259,1.08514,0.30919,0.26524,0.21128,0.06847,2.44306,1.50938,1.09728,3.268e-05,3.268e-05,3.268e-05
70,972.405,2.4697,1.52801,1.08549,0.34459,0.26245,0.22057,0.07192,2.40328,1.50227,1.08504,3.169e-05,3.169e-05,3.169e-05
71,986.422,2.4744,1.5152,1.08151,0.35339,0.27059,0.23204,0.07524,2.43026,1.48206,1.08615,3.07e-05,3.07e-05,3.07e-05
72,1000.63,2.48791,1.52764,1.08101,0.33832,0.26896,0.22024,0.07238,2.4087,1.48877,1.0885,2.971e-05,2.971e-05,2.971e-05
73,1014.29,2.48251,1.52115,1.07954,0.31853,0.27556,0.21882,0.0708,2.40478,1.499,1.08703,2.872e-05,2.872e-05,2.872e-05
74,1027.92,2.46456,1.50865,1.07903,0.32005,0.27543,0.21527,0.07013,2.42427,1.51289,1.09204,2.773e-05,2.773e-05,2.773e-05
75,1041.51,2.44469,1.50357,1.07977,0.32545,0.28029,0.22945,0.07528,2.39498,1.45882,1.08483,2.674e-05,2.674e-05,2.674e-05
76,1055.45,2.47922,1.52744,1.08579,0.31837,0.2665,0.21612,0.07192,2.4016,1.48701,1.08122,2.575e-05,2.575e-05,2.575e-05
77,1069.05,2.43063,1.48943,1.06419,0.28725,0.28274,0.21608,0.07091,2.39437,1.49892,1.08362,2.476e-05,2.476e-05,2.476e-05
78,1082.59,2.45834,1.52393,1.08538,0.31009,0.29004,0.22344,0.07216,2.40689,1.47551,1.08512,2.377e-05,2.377e-05,2.377e-05
79,1096.2,2.46053,1.5047,1.07443,0.36675,0.27352,0.23721,0.07949,2.3824,1.4643,1.08075,2.278e-05,2.278e-05,2.278e-05
80,1110.07,2.45446,1.49441,1.06904,0.34924,0.27076,0.23385,0.0777,2.39935,1.45566,1.07943,2.179e-05,2.179e-05,2.179e-05
81,1123.64,2.44663,1.51791,1.07652,0.33301,0.27048,0.23116,0.07645,2.38524,1.47214,1.08402,2.08e-05,2.08e-05,2.08e-05
82,1137.5,2.43575,1.48869,1.06442,0.33507,0.28207,0.23397,0.07668,2.37697,1.45975,1.07839,1.981e-05,1.981e-05,1.981e-05
83,1151.03,2.43818,1.50403,1.08168,0.35886,0.26119,0.22711,0.07436,2.40058,1.47446,1.08562,1.882e-05,1.882e-05,1.882e-05
84,1164.63,2.42066,1.48185,1.06931,0.32003,0.27471,0.23438,0.07881,2.38926,1.44983,1.07927,1.783e-05,1.783e-05,1.783e-05
85,1178.22,2.44576,1.49567,1.07024,0.31949,0.28641,0.23122,0.0785,2.37671,1.46306,1.08012,1.684e-05,1.684e-05,1.684e-05
86,1191.78,2.42578,1.48401,1.07621,0.32466,0.28342,0.23145,0.07834,2.37897,1.46751,1.08065,1.585e-05,1.585e-05,1.585e-05
87,1205.4,2.47366,1.51775,1.07192,0.33091,0.28731,0.23697,0.08039,2.36279,1.45818,1.07621,1.486e-05,1.486e-05,1.486e-05
88,1219.3,2.42893,1.4958,1.07356,0.35728,0.2801,0.24177,0.08008,2.38667,1.45581,1.08204,1.387e-05,1.387e-05,1.387e-05
89,1232.87,2.43884,1.49547,1.07496,0.34649,0.27025,0.23656,0.07855,2.38708,1.45755,1.07849,1.288e-05,1.288e-05,1.288e-05
90,1246.48,2.44588,1.48443,1.06969,0.34273,0.28575,0.24001,0.08092,2.35829,1.45156,1.07405,1.189e-05,1.189e-05,1.189e-05
91,1272.33,2.40339,1.56465,1.08341,0.30484,0.27561,0.22856,0.07533,2.37176,1.49059,1.07386,1.09e-05,1.09e-05,1.09e-05
92,1286.23,2.36329,1.48251,1.08938,0.30865,0.25717,0.21847,0.07112,2.42439,1.50454,1.08882,9.91e-06,9.91e-06,9.91e-06
93,1299.5,2.36481,1.48978,1.07818,0.31136,0.26248,0.21678,0.07142,2.40268,1.52225,1.08193,8.92e-06,8.92e-06,8.92e-06
94,1312.84,2.3736,1.4928,1.07324,0.30146,0.27928,0.21671,0.07163,2.39999,1.51535,1.08111,7.93e-06,7.93e-06,7.93e-06
95,1326.13,2.34171,1.45699,1.0776,0.32771,0.26347,0.22159,0.07379,2.37844,1.49723,1.07718,6.94e-06,6.94e-06,6.94e-06
96,1339.41,2.34617,1.46445,1.07677,0.30546,0.27546,0.21411,0.07033,2.40307,1.52003,1.08122,5.95e-06,5.95e-06,5.95e-06
97,1352.69,2.36326,1.47712,1.079,0.29954,0.28288,0.21879,0.07262,2.38566,1.49593,1.07823,4.96e-06,4.96e-06,4.96e-06
98,1366,2.36607,1.46975,1.0737,0.3024,0.28743,0.22579,0.07398,2.38929,1.48156,1.07979,3.97e-06,3.97e-06,3.97e-06
99,1379.33,2.34413,1.46799,1.07628,0.32934,0.27788,0.23021,0.07647,2.37912,1.46618,1.07632,2.98e-06,2.98e-06,2.98e-06
100,1392.69,2.36566,1.46287,1.07476,0.34619,0.27295,0.23498,0.0777,2.37421,1.46202,1.07487,1.99e-06,1.99e-06,1.99e-06
