epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,11615.6,2.68327,2.25854,1.23754,0.32456,0.33709,0.25422,0.08087,2.51223,1.95575,1.25856,8.0695e-05,8.0695e-05,8.0695e-05
41,11883.6,2.66321,2.28237,1.23375,0.28381,0.37879,0.26455,0.08096,2.49953,1.91925,1.25374,8.02e-05,8.02e-05,8.02e-05
42,12161.9,2.64153,2.25327,1.2252,0.30353,0.37055,0.26662,0.08583,2.48378,1.92945,1.25379,7.9705e-05,7.9705e-05,7.9705e-05
43,12446.4,2.64417,2.27539,1.23541,0.32129,0.37829,0.27919,0.08882,2.46763,1.90599,1.24037,7.921e-05,7.921e-05,7.921e-05
44,12736.9,2.63631,2.25568,1.22233,0.31141,0.35852,0.26809,0.08703,2.45254,1.83436,1.23972,7.8715e-05,7.8715e-05,7.8715e-05
45,13016.9,2.6508,2.23564,1.23164,0.30396,0.37109,0.27837,0.08919,2.45487,1.911,1.25906,7.822e-05,7.822e-05,7.822e-05
46,13303.8,2.64742,2.22757,1.20739,0.27845,0.37355,0.25059,0.07855,2.49962,1.92868,1.25749,7.7725e-05,7.7725e-05,7.7725e-05
47,13587.4,2.62303,2.23482,1.20492,0.31149,0.37847,0.27462,0.08507,2.47877,1.913,1.24657,7.723e-05,7.723e-05,7.723e-05
48,13888.2,2.60086,2.22831,1.21191,0.3156,0.40195,0.30047,0.0966,2.41048,1.84349,1.24279,7.6735e-05,7.6735e-05,7.6735e-05
49,14158.1,2.58237,2.20553,1.20805,0.26798,0.3881,0.25469,0.08022,2.44065,1.92131,1.24139,7.624e-05,7.624e-05,7.624e-05
50,14390.8,2.60206,2.20261,1.20533,0.29497,0.42846,0.31284,0.09858,2.42083,1.86851,1.23016,7.5745e-05,7.5745e-05,7.5745e-05
51,14657.9,2.54303,2.14922,1.20904,0.35346,0.38767,0.31739,0.10237,2.44698,1.7966,1.24665,7.525e-05,7.525e-05,7.525e-05
52,14956.5,2.55875,2.14931,1.20926,0.30956,0.39844,0.29146,0.09199,2.47689,1.89841,1.24587,7.4755e-05,7.4755e-05,7.4755e-05
53,15242.4,2.52071,2.11322,1.19708,0.32588,0.39948,0.30708,0.09879,2.40444,1.80451,1.23133,7.426e-05,7.426e-05,7.426e-05
54,15534.5,2.53061,2.15239,1.20237,0.30335,0.40724,0.31801,0.1047,2.37909,1.87975,1.22836,7.3765e-05,7.3765e-05,7.3765e-05
55,15822.8,2.55733,2.13625,1.20124,0.33998,0.40393,0.33258,0.10924,2.40968,1.85791,1.22732,7.327e-05,7.327e-05,7.327e-05
56,16098,2.53809,2.14596,1.20168,0.33522,0.41082,0.31909,0.10189,2.39299,1.81951,1.23177,7.2775e-05,7.2775e-05,7.2775e-05
57,16374.6,2.53402,2.12824,1.19499,0.29895,0.4189,0.30498,0.09621,2.44715,1.86414,1.23978,7.228e-05,7.228e-05,7.228e-05
58,16657.6,2.52959,2.11323,1.18055,0.31277,0.42592,0.31395,0.09997,2.39524,1.79791,1.23332,7.1785e-05,7.1785e-05,7.1785e-05
59,16947.1,2.5322,2.11604,1.19541,0.28287,0.42637,0.3034,0.09448,2.48498,1.84497,1.25137,7.129e-05,7.129e-05,7.129e-05
60,17231,2.5297,2.09321,1.19481,0.30151,0.41018,0.29423,0.09095,2.51095,1.87166,1.25676,7.0795e-05,7.0795e-05,7.0795e-05
61,17519.1,2.4914,2.07623,1.18066,0.3246,0.44312,0.33766,0.10941,2.38791,1.7894,1.22666,7.03e-05,7.03e-05,7.03e-05
